university,state_alpha,fmr_0,fmr_1,fmr_2,fmr_3,fmr_4
Indiana University-Bloomington,IN,817,957,1124,1573,1864
University of Maryland,MD,1589,1615,1838,2299,2742
University of Michigan,MI,1148,1153,1384,1684,1926
Michigan State University,MI,837,868,1063,1374,1428
Ohio State University,OH,842,941,1163,1426,1577
Pennsylvania State University. Main Campus,PA,1091,1111,1285,1576,1726
Rutgers at New Brunswick,NJ,1336,1515,1917,2333,2575
University of Illinois-Urbana-Champaign,IL,866,871,1030,1335,1384
University of Iowa,IA,810,922,1127,1602,1920
University of Minnesota,MN,1007,1149,1410,1916,2209
University of Nebraska,NE,684,773,980,1372,1546
Northwestern University,IL,1158,1255,1440,1827,2172
Purdue University,IN,794,917,1071,1323,1661
University of Wisconsin-Madison,WI,1007,1183,1378,1810,2041
