Read the parameters into your program so you an refer to them by state and county,,,,,,,,,
,,,,,,,Cost Parameters,,
ExpenseName,stateAbbrev,stateFIPS,countyortownName,numadults,numkids,yearofdata,expense.misc,,
expense.misc,AL,1,Autauga County,1,0,2020,"1,714",,
expense.misc,AL,1,Autauga County,1,1,2020,"2,946",,
expense.misc,AL,1,Autauga County,1,2,2020,"3,629",,
expense.misc,AL,1,Autauga County,1,3,2020,"4,547",,
expense.misc,AL,1,Autauga County,1,4,2020,"5,185",,
expense.misc,AL,1,Autauga County,2,0,2020,"2,780",,
expense.misc,AL,1,Autauga County,2,1,2020,"3,618",,
expense.misc,AL,1,Autauga County,2,2,2020,"4,275",,
expense.misc,AL,1,Autauga County,2,3,2020,"5,168",,
expense.misc,AL,1,Autauga County,2,4,2020,"5,852",,
expense.misc,AL,1,Autauga County,3,0,2020,"3,288",,
expense.misc,AL,1,Autauga County,3,1,2020,"4,205",,
expense.misc,AL,1,Autauga County,3,2,2020,"4,836",,
expense.misc,AL,1,Autauga County,3,3,2020,"5,960",,
expense.misc,AL,1,Autauga County,3,4,2020,"6,558",,
expense.misc,AL,1,Baldwin County,1,0,2020,"1,837",,
expense.misc,AL,1,Baldwin County,1,1,2020,"3,210",,
expense.misc,AL,1,Baldwin County,1,2,2020,"3,944",,
expense.misc,AL,1,Baldwin County,1,3,2020,"5,054",,
expense.misc,AL,1,Baldwin County,1,4,2020,"5,737",,
expense.misc,AL,1,Baldwin County,2,0,2020,"2,977",,
expense.misc,AL,1,Baldwin County,2,1,2020,"3,914",,
expense.misc,AL,1,Baldwin County,2,2,2020,"4,619",,
expense.misc,AL,1,Baldwin County,2,3,2020,"5,701",,
expense.misc,AL,1,Baldwin County,2,4,2020,"6,436",,
expense.misc,AL,1,Baldwin County,3,0,2020,"3,568",,
expense.misc,AL,1,Baldwin County,3,1,2020,"4,677",,
expense.misc,AL,1,Baldwin County,3,2,2020,"5,353",,
expense.misc,AL,1,Baldwin County,3,3,2020,"6,466",,
expense.misc,AL,1,Baldwin County,3,4,2020,"7,104",,
expense.misc,AL,1,Barbour County,1,0,2020,"1,465",,
expense.misc,AL,1,Barbour County,1,1,2020,"2,660",,
expense.misc,AL,1,Barbour County,1,2,2020,"3,246",,
expense.misc,AL,1,Barbour County,1,3,2020,"3,998",,
expense.misc,AL,1,Barbour County,1,4,2020,"4,541",,
expense.misc,AL,1,Barbour County,2,0,2020,"2,551",,
expense.misc,AL,1,Barbour County,2,1,2020,"3,323",,
expense.misc,AL,1,Barbour County,2,2,2020,"3,886",,
expense.misc,AL,1,Barbour County,2,3,2020,"4,613",,
expense.misc,AL,1,Barbour County,2,4,2020,"5,200",,
expense.misc,AL,1,Barbour County,3,0,2020,"3,080",,
expense.misc,AL,1,Barbour County,3,1,2020,"3,832",,
expense.misc,AL,1,Barbour County,3,2,2020,"4,368",,
expense.misc,AL,1,Barbour County,3,3,2020,"5,119",,
expense.misc,AL,1,Barbour County,3,4,2020,"5,623",,
expense.misc,AL,1,Bibb County,1,0,2020,"1,719",,
expense.misc,AL,1,Bibb County,1,1,2020,"2,906",,
expense.misc,AL,1,Bibb County,1,2,2020,"3,547",,
expense.misc,AL,1,Bibb County,1,3,2020,"4,466",,
expense.misc,AL,1,Bibb County,1,4,2020,"5,064",,
expense.misc,AL,1,Bibb County,2,0,2020,"2,806",,
expense.misc,AL,1,Bibb County,2,1,2020,"3,569",,
expense.misc,AL,1,Bibb County,2,2,2020,"4,186",,
expense.misc,AL,1,Bibb County,2,3,2020,"5,081",,
expense.misc,AL,1,Bibb County,2,4,2020,"5,723",,
expense.misc,AL,1,Bibb County,3,0,2020,"3,267",,
expense.misc,AL,1,Bibb County,3,1,2020,"4,186",,
expense.misc,AL,1,Bibb County,3,2,2020,"4,778",,
expense.misc,AL,1,Bibb County,3,3,2020,"5,554",,
expense.misc,AL,1,Bibb County,3,4,2020,"6,114",,
expense.misc,AL,1,Blount County,1,0,2020,"1,696",,
expense.misc,AL,1,Blount County,1,1,2020,"3,030",,
expense.misc,AL,1,Blount County,1,2,2020,"3,821",,
expense.misc,AL,1,Blount County,1,3,2020,"4,879",,
expense.misc,AL,1,Blount County,1,4,2020,"5,627",,
expense.misc,AL,1,Blount County,2,0,2020,"2,789",,
expense.misc,AL,1,Blount County,2,1,2020,"3,700",,
expense.misc,AL,1,Blount County,2,2,2020,"4,467",,
expense.misc,AL,1,Blount County,2,3,2020,"5,501",,
expense.misc,AL,1,Blount County,2,4,2020,"6,293",,
expense.misc,AL,1,Blount County,3,0,2020,"3,253",,
expense.misc,AL,1,Blount County,3,1,2020,"4,310",,
expense.misc,AL,1,Blount County,3,2,2020,"5,052",,
expense.misc,AL,1,Blount County,3,3,2020,"5,980",,
expense.misc,AL,1,Blount County,3,4,2020,"6,689",,
expense.misc,AL,1,Bullock County,1,0,2020,"1,485",,
expense.misc,AL,1,Bullock County,1,1,2020,"2,750",,
expense.misc,AL,1,Bullock County,1,2,2020,"3,436",,
expense.misc,AL,1,Bullock County,1,3,2020,"4,334",,
expense.misc,AL,1,Bullock County,1,4,2020,"4,974",,
expense.misc,AL,1,Bullock County,2,0,2020,"2,587",,
expense.misc,AL,1,Bullock County,2,1,2020,"3,429",,
expense.misc,AL,1,Bullock County,2,2,2020,"4,088",,
expense.misc,AL,1,Bullock County,2,3,2020,"4,961",,
expense.misc,AL,1,Bullock County,2,4,2020,"5,648",,
expense.misc,AL,1,Bullock County,3,0,2020,"3,100",,
expense.misc,AL,1,Bullock County,3,1,2020,"3,998",,
expense.misc,AL,1,Bullock County,3,2,2020,"4,631",,
expense.misc,AL,1,Bullock County,3,3,2020,"5,400",,
expense.misc,AL,1,Bullock County,3,4,2020,"5,999",,
expense.misc,AL,1,Butler County,1,0,2020,"1,494",,
expense.misc,AL,1,Butler County,1,1,2020,"2,694",,
expense.misc,AL,1,Butler County,1,2,2020,"3,359",,
expense.misc,AL,1,Butler County,1,3,2020,"4,208",,
expense.misc,AL,1,Butler County,1,4,2020,"4,831",,
expense.misc,AL,1,Butler County,2,0,2020,"2,563",,
expense.misc,AL,1,Butler County,2,1,2020,"3,341",,
expense.misc,AL,1,Butler County,2,2,2020,"3,983",,
expense.misc,AL,1,Butler County,2,3,2020,"4,808",,
expense.misc,AL,1,Butler County,2,4,2020,"5,475",,
expense.misc,AL,1,Butler County,3,0,2020,"3,003",,
expense.misc,AL,1,Butler County,3,1,2020,"3,852",,
expense.misc,AL,1,Butler County,3,2,2020,"4,470",,
expense.misc,AL,1,Butler County,3,3,2020,"5,390",,
expense.misc,AL,1,Butler County,3,4,2020,"5,976",,
expense.misc,AL,1,Calhoun County,1,0,2020,"1,512",,
expense.misc,AL,1,Calhoun County,1,1,2020,"2,752",,
expense.misc,AL,1,Calhoun County,1,2,2020,"3,364",,
expense.misc,AL,1,Calhoun County,1,3,2020,"4,206",,
expense.misc,AL,1,Calhoun County,1,4,2020,"4,776",,
expense.misc,AL,1,Calhoun County,2,0,2020,"2,587",,
expense.misc,AL,1,Calhoun County,2,1,2020,"3,405",,
expense.misc,AL,1,Calhoun County,2,2,2020,"3,993",,
expense.misc,AL,1,Calhoun County,2,3,2020,"4,812",,
expense.misc,AL,1,Calhoun County,2,4,2020,"5,425",,
expense.misc,AL,1,Calhoun County,3,0,2020,"3,123",,
expense.misc,AL,1,Calhoun County,3,1,2020,"3,966",,
expense.misc,AL,1,Calhoun County,3,2,2020,"4,530",,
expense.misc,AL,1,Calhoun County,3,3,2020,"5,337",,
expense.misc,AL,1,Calhoun County,3,4,2020,"5,870",,
expense.misc,AL,1,Chambers County,1,0,2020,"1,574",,
expense.misc,AL,1,Chambers County,1,1,2020,"2,813",,
expense.misc,AL,1,Chambers County,1,2,2020,"3,518",,
expense.misc,AL,1,Chambers County,1,3,2020,"4,448",,
expense.misc,AL,1,Chambers County,1,4,2020,"5,112",,
expense.misc,AL,1,Chambers County,2,0,2020,"2,638",,
expense.misc,AL,1,Chambers County,2,1,2020,"3,455",,
expense.misc,AL,1,Chambers County,2,2,2020,"4,137",,
expense.misc,AL,1,Chambers County,2,3,2020,"5,044",,
expense.misc,AL,1,Chambers County,2,4,2020,"5,750",,
expense.misc,AL,1,Chambers County,3,0,2020,"3,071",,
expense.misc,AL,1,Chambers County,3,1,2020,"4,001",,
expense.misc,AL,1,Chambers County,3,2,2020,"4,660",,
expense.misc,AL,1,Chambers County,3,3,2020,"5,475",,
expense.misc,AL,1,Chambers County,3,4,2020,"6,103",,
expense.misc,AL,1,Cherokee County,1,0,2020,"1,461",,
expense.misc,AL,1,Cherokee County,1,1,2020,"2,664",,
expense.misc,AL,1,Cherokee County,1,2,2020,"3,252",,
expense.misc,AL,1,Cherokee County,1,3,2020,"4,074",,
expense.misc,AL,1,Cherokee County,1,4,2020,"4,616",,
expense.misc,AL,1,Cherokee County,2,0,2020,"2,570",,
expense.misc,AL,1,Cherokee County,2,1,2020,"3,337",,
expense.misc,AL,1,Cherokee County,2,2,2020,"3,899",,
expense.misc,AL,1,Cherokee County,2,3,2020,"4,695",,
expense.misc,AL,1,Cherokee County,2,4,2020,"5,284",,
expense.misc,AL,1,Cherokee County,3,0,2020,"3,107",,
expense.misc,AL,1,Cherokee County,3,1,2020,"3,928",,
expense.misc,AL,1,Cherokee County,3,2,2020,"4,464",,
expense.misc,AL,1,Cherokee County,3,3,2020,"5,056",,
expense.misc,AL,1,Cherokee County,3,4,2020,"5,557",,
expense.misc,AL,1,Chilton County,1,0,2020,"1,629",,
expense.misc,AL,1,Chilton County,1,1,2020,"2,807",,
expense.misc,AL,1,Chilton County,1,2,2020,"3,483",,
expense.misc,AL,1,Chilton County,1,3,2020,"4,517",,
expense.misc,AL,1,Chilton County,1,4,2020,"5,149",,
expense.misc,AL,1,Chilton County,2,0,2020,"2,687",,
expense.misc,AL,1,Chilton County,2,1,2020,"3,471",,
expense.misc,AL,1,Chilton County,2,2,2020,"4,123",,
expense.misc,AL,1,Chilton County,2,3,2020,"5,131",,
expense.misc,AL,1,Chilton County,2,4,2020,"5,809",,
expense.misc,AL,1,Chilton County,3,0,2020,"3,138",,
expense.misc,AL,1,Chilton County,3,1,2020,"4,171",,
expense.misc,AL,1,Chilton County,3,2,2020,"4,797",,
expense.misc,AL,1,Chilton County,3,3,2020,"5,585",,
expense.misc,AL,1,Chilton County,3,4,2020,"6,179",,
expense.misc,AL,1,Choctaw County,1,0,2020,"1,434",,
expense.misc,AL,1,Choctaw County,1,1,2020,"2,645",,
expense.misc,AL,1,Choctaw County,1,2,2020,"3,282",,
expense.misc,AL,1,Choctaw County,1,3,2020,"4,079",,
expense.misc,AL,1,Choctaw County,1,4,2020,"4,673",,
expense.misc,AL,1,Choctaw County,2,0,2020,"2,487",,
expense.misc,AL,1,Choctaw County,2,1,2020,"3,305",,
expense.misc,AL,1,Choctaw County,2,2,2020,"3,918",,
expense.misc,AL,1,Choctaw County,2,3,2020,"4,691",,
expense.misc,AL,1,Choctaw County,2,4,2020,"5,329",,
expense.misc,AL,1,Choctaw County,3,0,2020,"3,001",,
expense.misc,AL,1,Choctaw County,3,1,2020,"3,798",,
expense.misc,AL,1,Choctaw County,3,2,2020,"4,387",,
expense.misc,AL,1,Choctaw County,3,3,2020,"5,113",,
expense.misc,AL,1,Choctaw County,3,4,2020,"5,669",,
expense.misc,AL,1,Clarke County,1,0,2020,"1,474",,
expense.misc,AL,1,Clarke County,1,1,2020,"2,691",,
expense.misc,AL,1,Clarke County,1,2,2020,"3,384",,
expense.misc,AL,1,Clarke County,1,3,2020,"4,382",,
expense.misc,AL,1,Clarke County,1,4,2020,"5,034",,
expense.misc,AL,1,Clarke County,2,0,2020,"2,523",,
expense.misc,AL,1,Clarke County,2,1,2020,"3,345",,
expense.misc,AL,1,Clarke County,2,2,2020,"4,016",,
expense.misc,AL,1,Clarke County,2,3,2020,"4,990",,
expense.misc,AL,1,Clarke County,2,4,2020,"5,684",,
expense.misc,AL,1,Clarke County,3,0,2020,"2,982",,
expense.misc,AL,1,Clarke County,3,1,2020,"3,980",,
expense.misc,AL,1,Clarke County,3,2,2020,"4,626",,
expense.misc,AL,1,Clarke County,3,3,2020,"5,437",,
expense.misc,AL,1,Clarke County,3,4,2020,"6,051",,
expense.misc,AL,1,Clay County,1,0,2020,"1,520",,
expense.misc,AL,1,Clay County,1,1,2020,"2,627",,
expense.misc,AL,1,Clay County,1,2,2020,"3,247",,
expense.misc,AL,1,Clay County,1,3,2020,"4,170",,
expense.misc,AL,1,Clay County,1,4,2020,"4,747",,
expense.misc,AL,1,Clay County,2,0,2020,"2,575",,
expense.misc,AL,1,Clay County,2,1,2020,"3,288",,
expense.misc,AL,1,Clay County,2,2,2020,"3,884",,
expense.misc,AL,1,Clay County,2,3,2020,"4,782",,
expense.misc,AL,1,Clay County,2,4,2020,"5,404",,
expense.misc,AL,1,Clay County,3,0,2020,"3,010",,
expense.misc,AL,1,Clay County,3,1,2020,"3,933",,
expense.misc,AL,1,Clay County,3,2,2020,"4,504",,
expense.misc,AL,1,Clay County,3,3,2020,"5,357",,
expense.misc,AL,1,Clay County,3,4,2020,"5,895",,
expense.misc,AL,1,Cleburne County,1,0,2020,"1,422",,
expense.misc,AL,1,Cleburne County,1,1,2020,"2,609",,
expense.misc,AL,1,Cleburne County,1,2,2020,"3,222",,
expense.misc,AL,1,Cleburne County,1,3,2020,"4,114",,
expense.misc,AL,1,Cleburne County,1,4,2020,"4,685",,
expense.misc,AL,1,Cleburne County,2,0,2020,"2,469",,
expense.misc,AL,1,Cleburne County,2,1,2020,"3,262",,
expense.misc,AL,1,Cleburne County,2,2,2020,"3,851",,
expense.misc,AL,1,Cleburne County,2,3,2020,"4,720",,
expense.misc,AL,1,Cleburne County,2,4,2020,"5,334",,
expense.misc,AL,1,Cleburne County,3,0,2020,"2,981",,
expense.misc,AL,1,Cleburne County,3,1,2020,"3,874",,
expense.misc,AL,1,Cleburne County,3,2,2020,"4,439",,
expense.misc,AL,1,Cleburne County,3,3,2020,"5,307",,
expense.misc,AL,1,Cleburne County,3,4,2020,"5,841",,
expense.misc,AL,1,Coffee County,1,0,2020,"1,550",,
expense.misc,AL,1,Coffee County,1,1,2020,"2,702",,
expense.misc,AL,1,Coffee County,1,2,2020,"3,306",,
expense.misc,AL,1,Coffee County,1,3,2020,"4,240",,
expense.misc,AL,1,Coffee County,1,4,2020,"4,797",,
expense.misc,AL,1,Coffee County,2,0,2020,"2,630",,
expense.misc,AL,1,Coffee County,2,1,2020,"3,386",,
expense.misc,AL,1,Coffee County,2,2,2020,"3,964",,
expense.misc,AL,1,Coffee County,2,3,2020,"4,871",,
expense.misc,AL,1,Coffee County,2,4,2020,"5,477",,
expense.misc,AL,1,Coffee County,3,0,2020,"3,151",,
expense.misc,AL,1,Coffee County,3,1,2020,"4,083",,
expense.misc,AL,1,Coffee County,3,2,2020,"4,634",,
expense.misc,AL,1,Coffee County,3,3,2020,"5,490",,
expense.misc,AL,1,Coffee County,3,4,2020,"6,005",,
expense.misc,AL,1,Colbert County,1,0,2020,"1,506",,
expense.misc,AL,1,Colbert County,1,1,2020,"2,800",,
expense.misc,AL,1,Colbert County,1,2,2020,"3,519",,
expense.misc,AL,1,Colbert County,1,3,2020,"4,446",,
expense.misc,AL,1,Colbert County,1,4,2020,"5,125",,
expense.misc,AL,1,Colbert County,2,0,2020,"2,536",,
expense.misc,AL,1,Colbert County,2,1,2020,"3,436",,
expense.misc,AL,1,Colbert County,2,2,2020,"4,133",,
expense.misc,AL,1,Colbert County,2,3,2020,"5,038",,
expense.misc,AL,1,Colbert County,2,4,2020,"5,757",,
expense.misc,AL,1,Colbert County,3,0,2020,"3,032",,
expense.misc,AL,1,Colbert County,3,1,2020,"3,960",,
expense.misc,AL,1,Colbert County,3,2,2020,"4,634",,
expense.misc,AL,1,Colbert County,3,3,2020,"5,681",,
expense.misc,AL,1,Colbert County,3,4,2020,"6,325",,
expense.misc,AL,1,Conecuh County,1,0,2020,"1,471",,
expense.misc,AL,1,Conecuh County,1,1,2020,"2,719",,
expense.misc,AL,1,Conecuh County,1,2,2020,"3,447",,
expense.misc,AL,1,Conecuh County,1,3,2020,"4,469",,
expense.misc,AL,1,Conecuh County,1,4,2020,"5,156",,
expense.misc,AL,1,Conecuh County,2,0,2020,"2,513",,
expense.misc,AL,1,Conecuh County,2,1,2020,"3,367",,
expense.misc,AL,1,Conecuh County,2,2,2020,"4,072",,
expense.misc,AL,1,Conecuh County,2,3,2020,"5,071",,
expense.misc,AL,1,Conecuh County,2,4,2020,"5,800",,
expense.misc,AL,1,Conecuh County,3,0,2020,"2,967",,
expense.misc,AL,1,Conecuh County,3,1,2020,"3,989",,
expense.misc,AL,1,Conecuh County,3,2,2020,"4,670",,
expense.misc,AL,1,Conecuh County,3,3,2020,"5,405",,
expense.misc,AL,1,Conecuh County,3,4,2020,"6,055",,
expense.misc,AL,1,Coosa County,1,0,2020,"1,517",,
expense.misc,AL,1,Coosa County,1,1,2020,"2,787",,
expense.misc,AL,1,Coosa County,1,2,2020,"3,423",,
expense.misc,AL,1,Coosa County,1,3,2020,"4,231",,
expense.misc,AL,1,Coosa County,1,4,2020,"4,821",,
expense.misc,AL,1,Coosa County,2,0,2020,"2,638",,
expense.misc,AL,1,Coosa County,2,1,2020,"3,467",,
expense.misc,AL,1,Coosa County,2,2,2020,"4,077",,
expense.misc,AL,1,Coosa County,2,3,2020,"4,859",,
expense.misc,AL,1,Coosa County,2,4,2020,"5,496",,
expense.misc,AL,1,Coosa County,3,0,2020,"3,197",,
expense.misc,AL,1,Coosa County,3,1,2020,"4,004",,
expense.misc,AL,1,Coosa County,3,2,2020,"4,587",,
expense.misc,AL,1,Coosa County,3,3,2020,"5,373",,
expense.misc,AL,1,Coosa County,3,4,2020,"5,920",,
expense.misc,AL,1,Covington County,1,0,2020,"1,460",,
expense.misc,AL,1,Covington County,1,1,2020,"2,716",,
expense.misc,AL,1,Covington County,1,2,2020,"3,382",,
expense.misc,AL,1,Covington County,1,3,2020,"4,274",,
expense.misc,AL,1,Covington County,1,4,2020,"4,898",,
expense.misc,AL,1,Covington County,2,0,2020,"2,545",,
expense.misc,AL,1,Covington County,2,1,2020,"3,362",,
expense.misc,AL,1,Covington County,2,2,2020,"4,005",,
expense.misc,AL,1,Covington County,2,3,2020,"4,873",,
expense.misc,AL,1,Covington County,2,4,2020,"5,540",,
expense.misc,AL,1,Covington County,3,0,2020,"3,024",,
expense.misc,AL,1,Covington County,3,1,2020,"3,916",,
expense.misc,AL,1,Covington County,3,2,2020,"4,535",,
expense.misc,AL,1,Covington County,3,3,2020,"5,443",,
expense.misc,AL,1,Covington County,3,4,2020,"6,031",,
expense.misc,AL,1,Crenshaw County,1,0,2020,"1,450",,
expense.misc,AL,1,Crenshaw County,1,1,2020,"2,630",,
expense.misc,AL,1,Crenshaw County,1,2,2020,"3,224",,
expense.misc,AL,1,Crenshaw County,1,3,2020,"3,976",,
expense.misc,AL,1,Crenshaw County,1,4,2020,"4,524",,
expense.misc,AL,1,Crenshaw County,2,0,2020,"2,530",,
expense.misc,AL,1,Crenshaw County,2,1,2020,"3,303",,
expense.misc,AL,1,Crenshaw County,2,2,2020,"3,871",,
expense.misc,AL,1,Crenshaw County,2,3,2020,"4,598",,
expense.misc,AL,1,Crenshaw County,2,4,2020,"5,193",,
expense.misc,AL,1,Crenshaw County,3,0,2020,"3,063",,
expense.misc,AL,1,Crenshaw County,3,1,2020,"3,814",,
expense.misc,AL,1,Crenshaw County,3,2,2020,"4,356",,
expense.misc,AL,1,Crenshaw County,3,3,2020,"5,121",,
expense.misc,AL,1,Crenshaw County,3,4,2020,"5,629",,
expense.misc,AL,1,Cullman County,1,0,2020,"1,516",,
expense.misc,AL,1,Cullman County,1,1,2020,"2,822",,
expense.misc,AL,1,Cullman County,1,2,2020,"3,558",,
expense.misc,AL,1,Cullman County,1,3,2020,"4,544",,
expense.misc,AL,1,Cullman County,1,4,2020,"5,237",,
expense.misc,AL,1,Cullman County,2,0,2020,"2,601",,
expense.misc,AL,1,Cullman County,2,1,2020,"3,484",,
expense.misc,AL,1,Cullman County,2,2,2020,"4,197",,
expense.misc,AL,1,Cullman County,2,3,2020,"5,158",,
expense.misc,AL,1,Cullman County,2,4,2020,"5,895",,
expense.misc,AL,1,Cullman County,3,0,2020,"3,088",,
expense.misc,AL,1,Cullman County,3,1,2020,"4,073",,
expense.misc,AL,1,Cullman County,3,2,2020,"4,760",,
expense.misc,AL,1,Cullman County,3,3,2020,"5,502",,
expense.misc,AL,1,Cullman County,3,4,2020,"6,156",,
expense.misc,AL,1,Dale County,1,0,2020,"1,486",,
expense.misc,AL,1,Dale County,1,1,2020,"2,633",,
expense.misc,AL,1,Dale County,1,2,2020,"3,220",,
expense.misc,AL,1,Dale County,1,3,2020,"4,045",,
expense.misc,AL,1,Dale County,1,4,2020,"4,589",,
expense.misc,AL,1,Dale County,2,0,2020,"2,570",,
expense.misc,AL,1,Dale County,2,1,2020,"3,294",,
expense.misc,AL,1,Dale County,2,2,2020,"3,857",,
expense.misc,AL,1,Dale County,2,3,2020,"4,658",,
expense.misc,AL,1,Dale County,2,4,2020,"5,246",,
expense.misc,AL,1,Dale County,3,0,2020,"3,051",,
expense.misc,AL,1,Dale County,3,1,2020,"3,876",,
expense.misc,AL,1,Dale County,3,2,2020,"4,413",,
expense.misc,AL,1,Dale County,3,3,2020,"5,297",,
expense.misc,AL,1,Dale County,3,4,2020,"5,801",,
expense.misc,AL,1,Dallas County,1,0,2020,"1,486",,
expense.misc,AL,1,Dallas County,1,1,2020,"2,724",,
expense.misc,AL,1,Dallas County,1,2,2020,"3,397",,
expense.misc,AL,1,Dallas County,1,3,2020,"4,247",,
expense.misc,AL,1,Dallas County,1,4,2020,"4,878",,
expense.misc,AL,1,Dallas County,2,0,2020,"2,568",,
expense.misc,AL,1,Dallas County,2,1,2020,"3,383",,
expense.misc,AL,1,Dallas County,2,2,2020,"4,033",,
expense.misc,AL,1,Dallas County,2,3,2020,"4,858",,
expense.misc,AL,1,Dallas County,2,4,2020,"5,533",,
expense.misc,AL,1,Dallas County,3,0,2020,"3,049",,
expense.misc,AL,1,Dallas County,3,1,2020,"3,899",,
expense.misc,AL,1,Dallas County,3,2,2020,"4,523",,
expense.misc,AL,1,Dallas County,3,3,2020,"5,263",,
expense.misc,AL,1,Dallas County,3,4,2020,"5,855",,
expense.misc,AL,1,DeKalb County,1,0,2020,"1,443",,
expense.misc,AL,1,DeKalb County,1,1,2020,"2,624",,
expense.misc,AL,1,DeKalb County,1,2,2020,"3,203",,
expense.misc,AL,1,DeKalb County,1,3,2020,"4,007",,
expense.misc,AL,1,DeKalb County,1,4,2020,"4,542",,
expense.misc,AL,1,DeKalb County,2,0,2020,"2,526",,
expense.misc,AL,1,DeKalb County,2,1,2020,"3,284",,
expense.misc,AL,1,DeKalb County,2,2,2020,"3,839",,
expense.misc,AL,1,DeKalb County,2,3,2020,"4,618",,
expense.misc,AL,1,DeKalb County,2,4,2020,"5,198",,
expense.misc,AL,1,DeKalb County,3,0,2020,"3,051",,
expense.misc,AL,1,DeKalb County,3,1,2020,"3,854",,
